Id,Title,Short Description,Product_link,Description,Product Name,Product Brand,Outfit Name,Outfit Description,Outfit Image,Movie/Show,Series Description,Series No,Episode,Celebrity Name,Character Name,Celebrity Image,Celebrity Type,Image1,Image2,Media,Buy,Buy Link,Extra_description,Source,Key works,In House,In House Price,Why we Like it,Who will this suit,Region,Year ,Video,Exact Image,Exact Store,Exact Price,Exact BuyLink,Similar Image,Similar Store,Similar Price,Similar BuyLink,Get It Second Hand
50310,10 News First: September 2021 Jennifer’s Yellow Blazer,,https://www.shopyourtv.com/10-news-first-september-2021-jennifers-yellow-blazer/,[],['Bianca Spender Opening Night Blazer - Yellow'],,,,,['10 News First'],,,"['""September 2021""']",['Jennifer Keyte'],,https://www.shopyourtv.com/wp-content/uploads/2021/09/yel-420x346.jpg?v=1630572789,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,eBay
39149,10 News First: June 2019 Amanda’s Orange Blazer,,https://www.shopyourtv.com/10-news-first-june-2019-amandas-orange-blazer/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/06/orange-blazer-420x387.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
91843,10 News First: September 2020 Jen’s Wrap Pink Blouse,,https://www.shopyourtv.com/10-news-first-september-2020-jens-wrap-pink-blouse/,Wrap Blouse,['Carla Zampatti The Passion Pink Ombre Wrap Shirt'],,,,,['10 News First'],,,['19th September 2020'],['Jennifer Keyte'],,https://www.shopyourtv.com/wp-content/uploads/2020/09/tv-show-fashion-4-420x331.jpg?v=1600734417,Mainstream,,,,– $569.00,https://www.carlazampatti.com.au/products/the-passion-pink-ombre-wrap-shirt?variant=32856494440525&utm_medium=cpc&utm_source=google&utm_campaign=Google%20Shopping&gclid=Cj0KCQjwnqH7BRDdARIsACTSAdtl7kGx2y0xAHOVD2FBQXYi23a5omFL0q7nUmic1hjZLllmyeqMFTkaAh3ZEALw_wcB,,Shopurtv,,,,,,,,,,,,,,,,,[]
36531,10 News First (AU): Studio 10 September 2019 Tash’s Pink Blazer,,https://www.shopyourtv.com/10-news-first-au-studio-10-september-2019-tashs-pink-blazer/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/Aus-TV-Talk-Shows-17-420x307.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
95115,10 Football: February 2022 Niav’s Red Blouse,,https://www.shopyourtv.com/10-football-february-2022-nias-red-blouse/,Red Blouse,['HUGO BOSS SILK-BLEND BLOUSE WITH GATHERED NECKLINE'],,,,,['10 Football AU'],,,['February 2022'],['Niav Owens'],,https://www.shopyourtv.com/wp-content/uploads/2022/02/the-porject-5-420x412.jpg?v=1643939118,Mainstream,,,,,https://shopstyle.it/l/bDG27,,Shopurtv,,,,,,,,,,,,,,,,,[]
44866,10 News First (AU): September 2019 Georgie’s Ruffle Coat,,https://www.shopyourtv.com/10-news-first-au-september-2019-georgies-ruffle-coat/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/Aus-TV-Shows-420x344.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
48355,10 News First – Melbourne: March 2021 Kate’s Ribbed Dress,,https://www.shopyourtv.com/10-news-first-melbourne-march-2021-kates-ribbed-dress/,Ribbed Dress,['Bec + Bridge White Water Midi Dress'],,,,,['10 News First Melbourne'],,,['Wednesday 10th March 2021'],['Kate Freebairn'],,https://www.shopyourtv.com/wp-content/uploads/2021/03/Neighborhood-3-420x370.jpg?v=1615428311,Mainstream,,,,– $260.00,https://shopstyle.it/l/bsyLc,,Shopurtv,,,,,,,,,,,,,,,,,[]
93517,10 News First (AU): Queensland September 2019 Georgie’s Pink Dress,,https://www.shopyourtv.com/10-news-first-au-queensland-september-2019-georgies-pink-dress/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/The-Masked-Singer-1x2-3-420x343.jpg,Mainstream,,,,[],,,Shopurtv,,,,,,,,,,,,,,,,,[]
19216,10 News First: November 2021 Red Sweetheart Neck Dress,,https://www.shopyourtv.com/10-news-first-november-2021-red-sweatheart-neck-dress/,[],"[""REBECCA VALLANCE L'amour crêpe midi dress""]",,,,,['10 News First'],,,"['""November 2021""']",['Amanda Jason'],,https://www.shopyourtv.com/wp-content/uploads/2021/11/r-1-420x406.jpg?v=1638328447,Mainstream,,,,,https://rstyle.me/+MlbE7cYY4w2A2DmBEs8LpA,,Shopurtv,,,,,,,,,,,,,,,,,eBay
81877,10 News First: December 2021 Paris’ Belted White Dress,,https://www.shopyourtv.com/10-news-first-december-2021-paris-belted-white-dress/,Belted Dress,['Karen Millen Belted Tailored Dress'],,,,,['10 News First'],,,['December 2021'],['Paris Martin'],,https://www.shopyourtv.com/wp-content/uploads/2021/12/Letter-Kenny-6-420x394.jpg?v=1640660087,Mainstream,,,,,https://rstyle.me/+1gtMdv417K7X3MSLoyJfFA,,Shopurtv,,,,,,,,,,,,,,,,,[]
17022,10 News First: October 2020 Jen’s Striped Shirt,,https://www.shopyourtv.com/10-news-first-october-2020-jens-striped-shirt/,Blue Striped Blouse,['Diane Von Furstenberg Mariah Blouse'],,,,,['10 News First'],,,['Tuesday 6th October 2020'],['Jennifer Keyte'],,https://www.shopyourtv.com/wp-content/uploads/2020/10/emily-in-paris-36-420x377.jpg?v=1601950544,Mainstream,,,,– $178.00,https://shopstyle.it/l/bm4kY,,Shopurtv,,,,,,,,,,,,,,,,,[]
37696,10 News First – Melbourne: June 2021 Kate’s Navy Blazer,,https://www.shopyourtv.com/10-news-first-melbourne-june-2021-kates-navy-blazer/,Navy Blazer,['Kookai Delta Oversized Blazer'],,,,,['10 News First Melbourne'],,,['1st June 2021'],['Kate Freebairn'],,https://www.shopyourtv.com/wp-content/uploads/2021/06/good-doctor-61-420x379.jpg?v=1622685370,Mainstream,,,,– $220.00,https://www.kookai.com.au/products/delta-oversized-blazer-smoke-navy?variant=39275934777416,,Shopurtv,,,,,,,,,,,,,,,,,[]
23860,10 News First: April 2021 Kate’s Pink Knit Midi Dress,,https://www.shopyourtv.com/10-news-first-april-2021-kates-pink-knit-midi-dress/,[],['Bec and Bridge White Water Midi Dress'],,,,,['10 News First'],,,"['""April 2021""']",['Kate Freebairn'],,https://www.shopyourtv.com/wp-content/uploads/2021/04/pink-midi-420x400.jpg?v=1617768271,Mainstream,,,,,https://rstyle.me/+5BNDyLPT3GeVFCloGh5GPw,,Shopurtv,,,,,,,,,,,,,,,,,eBay
80438,10 News First (AU): October 2021 Charlotte’s Blue Top & Trousers,,https://www.shopyourtv.com/10-news-first-au-october-2021-charlottes-blue-top-trousers/,[],['Mossman THE DARE TO DREAM TOP'],,,,,['10 News First (AU)'],,,"['""October 2021""']",['Charlotte Goodlet'],,https://www.shopyourtv.com/wp-content/uploads/2021/10/blue-top-1-420x377.jpg?v=1634723262,Mainstream,,,,,https://www.mossman.com.au/products/the-dare-to-dream-top-blue?variant=40435131941062&currency=AUD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gclid=CjwKCAjw_L6LBhBbEiwA4c46ug_1l7ulj9dYRydEOj6_YzswJ0eSyhGvwjfZRn4nLZuH50sJXEp9vhoCy3MQAvD_BwE,,Shopurtv,,,,,,,,,,,,,,,,,eBay
75482,10 News First: December 2020 Kate’s Ribbed Short Sleeve Knit Dress,,https://www.shopyourtv.com/10-news-first-december-2020-kates-ribbed-short-sleeve-knit-dress/,Short Sleeve Ribbed Knit Midi Dress,['Bec + Bridge White Water Dress'],,,,,['10 News First'],,,['6th December 2020'],['Kate Freebairn'],,https://www.shopyourtv.com/wp-content/uploads/2020/12/Stuid-o-10-6-420x386.jpg?v=1607388422,Mainstream,,,,– $260.00,https://www.becandbridge.com.au/products/white-water-ss-midi-dress-sage,,Shopurtv,,,,,,,,,,,,,,,,,[]
17079,10 News First (AU): Melbourne September 2019 Jen’s Ruffle White Blouse,,https://www.shopyourtv.com/10-news-first-au-melbourne-september-2019-jens-ruffle-white-blouse/,[],[],,,,,[],,,[],[],,https://www.shopyourtv.com/wp-content/uploads/2019/09/Studio-10-1-420x348.jpg,Mainstream,,,,,,,Shopurtv,,,,,,,,,,,,,,,,,[]
