Id,Short Description,Product_link,Description,Product Name,Product Brand,Outfit Name,Outfit Description,Outfit Image,Movie/Show,Series name,Series No,Episode,Celebrity Name,Character Name,Celebrity Image,Celebrity Type,Image1,Image2,Media,Buy,Extra_description,Source,Key works,In House,In House Price,Why we Like it,Who will this suit,Region,Year ,Video,Exact Image,Exact Store,Exact Price,Exact BuyLink,Similar Image,Similar Store,Similar Price,Similar BuyLink
56377,,https://wornontv.net/45030/,Cassandra Railly (played by Amanda Schull) on 12 Monkeys on Syfy was spotted wearing this grey mesh hoodie on 12 Monkeys on episode &amp;#039;&amp;#039; (1x03) in Feb 2015. Cassandra's Sweater is the Perforated Hoodie by Eileen Fisher. ,Cassandra’s grey mesh hoodie on 12 Monkeys,,Sweater,Perforated Hoodie by Eileen Fisher,https://wornontv.net/dottv/cdn2/tiles/eileen-fisher-perforated-hoodie-amanda-schull-12-monkeys.jpg,12-monkeys,Cassandra Complex,1,03,Amanda Schull,Cassandra Railly,https://uploads.wornontv.net/2015/02/cassandras-grey-perforated-hoodie.jpg,Mainstream,,,,,,WornOnTv,"12 Monkeys, Cassandra Railly, Amanda Schull, 12 Monkeys: Season 1 Episode 3, Eileen Fisher, ",,,,,,,,https://wornontv.net/dottv/assets/products/Eileen-Fisher-Petites-Perforated-Hoodie-45030-25302.jpg,Bloomingdales,no longer available,http://www1.bloomingdales.com/shop/product/eileen-fisher-petites-perforated-hoodie?ID=1064312,https://wornontv.net/dottv/assets/products/Mesh-Hoodie-45030-25303.jpg,Nordstrom Rack,$44.97,https://www.nordstromrack.com/shop/product/855794/nation-ltd-nation-ltd-medford-hoodie?color=HEATHER%2BGREY%2BMESH
50981,,https://wornontv.net/45028/,James Cole (played by Aaron Stanford) on 12 Monkeys on Syfy was spotted wearing this grey and red henley tee on 12 Monkeys on episode &amp;#039;&amp;#039; (1x03) in Feb 2015. James's Shirt is the Raglan Henley in Grey/True Red by Alternative. ,James’s grey and red henley tee on 12 Monkeys,,Shirt,Raglan Henley in Grey/True Red by Alternative,https://wornontv.net/dottv/cdn2/tiles/alternative-mens-raglan-henley-grey-true-red-aaron-stanford-12-monkeys.jpg,12-monkeys,Cassandra Complex,1,03,Aaron Stanford,James Cole,https://uploads.wornontv.net/2015/02/james-grey-red-henley.jpg,Mainstream,,,,,,WornOnTv,"12 Monkeys, James Cole, Aaron Stanford, 12 Monkeys: Season 1 Episode 3, Alternative, mens, ",,,,,,,,https://wornontv.net/dottv/assets/products/Alternative-raglan-henley-45028-25301.jpg,Amazon, ,https://www.amazon.com/Alternative-Mens-Raglan-Henley-Shirt/dp/B006TUXG5Q,,,,
49554,,https://wornontv.net/44637/,Cassandra Railly (played by Amanda Schull) on 12 Monkeys on Syfy was spotted wearing this blue plaid shirt on 12 Monkeys on episode &amp;#039;&amp;#039; (1x02) in Jan 2015. Cassandra's Top is the Kendra Shirt in Malibu White by Rails . ,Cassie’s blue plaid shirt on 12 Monkeys,,Top,Kendra Shirt in Malibu White by Rails,https://wornontv.net/dottv/cdn2/tiles/rails-kendra-shirt-malibu-white-amanda-schull-12-monkey.jpg,12-monkeys,Mentally Divergent,1,02,Amanda Schull,Cassandra Railly,https://uploads.wornontv.net/2015/01/cassies-blue-plaid-shirt.jpg,Mainstream,,,,,,WornOnTv,"12 Monkeys, Cassandra Railly, Amanda Schull, 12 Monkeys: Season 1 Episode 2, Rails, ",,,,,,,,https://wornontv.net/dottv/assets/products/Rails---Kendra-Plaid-Button-Down-Shirt-38001-21595.jpg,Saks Fifth Avenue,$108,https://www.saksfifthavenue.com/product/show?pid=845524446715071,,,,
83678,,https://wornontv.net/44099/,Cassandra Railly (played by Amanda Schull) on 12 Monkeys on Syfy was spotted wearing this black leather lace dress on 12 Monkeys on episode &amp;#039;&amp;#039; (1x01) in Jan 2015. Cassandra's Dress is the Metallic Lace Dress by LAgence. ,Cassandra’s black leather lace dress on 12 Monkeys,,Dress,Metallic Lace Dress by LAgence,https://wornontv.net/dottv/cdn2/tiles/lagence-lace-cap-sleeve-dress-amanda-schull-12-monkeys.jpg,12-monkeys,Pilot,1,01,Amanda Schull,Cassandra Railly,https://uploads.wornontv.net/2015/01/cassandras-black-leather-lace-dress.jpg,Mainstream,,,,,,WornOnTv,"12 Monkeys, Cassandra Railly, Amanda Schull, 12 Monkeys: Season 1 Episode 1, 12 Monkeys: Season 1 Episode 2, L'Agence, ",,,,,,,,https://wornontv.net/dottv/assets/products/Land39agence-Metallic-Lace-Dress---44099-24673.jpg,Farfetch,no longer available,http://www.farfetch.com/shopping/women/lagence-metallic-lace-dress-item-10590142.aspx,https://wornontv.net/dottv/assets/products/Eliza-J-Beaded-Lace-Sheath-Dress-44099-24674.jpg,Nordstrom,$198,http://shop.nordstrom.com/s/eliza-j-beaded-lace-sheath-dress/3842558
98879,,https://wornontv.net/44095/,Cassandra Railly (played by Amanda Schull) on 12 Monkeys on Syfy was spotted wearing this ombre printed coat on 12 Monkeys on episode &amp;#039;&amp;#039; (1x01) in Jan 2015. Cassandra's Coat is the Nala Coat by . ,Cassandra’s ombre printed coat on 12 Monkeys,,Coat,Nala Coat by,https://wornontv.net/dottv/cdn2/tiles/diane-von-furstenberg-nala-coat-amanda-schull-12-monkeys.jpg,12-monkeys,Pilot,1,01,Amanda Schull,Cassandra Railly,https://uploads.wornontv.net/2015/01/cassandras-ombre-print-coat.jpg,Mainstream,,,,,,WornOnTv,"12 Monkeys, Cassandra Railly, Amanda Schull, 12 Monkeys: Season 1 Episode 1, Diane von Furstenberg, ",,,,,,,,https://wornontv.net/dottv/assets/products/Diane-von-Furstenberg-and39Nalaand39-Woven-Coat-32292-24671.jpg,Nordstrom,$795,http://shop.nordstrom.com/s/diane-von-furstenberg-nala-woven-coat/3549778,,,,
22448,,https://wornontv.net/44092/,Cassandra Railly (played by Amanda Schull) on 12 Monkeys on Syfy was spotted wearing this burgundy coat on 12 Monkeys on episode &amp;#039;&amp;#039; (1x02) in Jan 2015. Cassandra's Coat is the Icon Trench Coat in Wool-Cashmere in Cabernet by J.Crew. ,Cassandra’s burgundy coat on 12 Monkeys,,Coat,Icon Trench Coat in Wool-Cashmere in Cabernet by J.Crew,https://wornontv.net/dottv/cdn2/tiles/j-crew-icon-trench-cabernet-amanda-schull-12-monkeys.jpg,12-monkeys,Mentally Divergent,1,02,Amanda Schull,Cassandra Railly,https://uploads.wornontv.net/2015/01/cassies-burgundy-coat.jpg,Mainstream,,,,,,WornOnTv,"12 Monkeys, Cassandra Railly, Amanda Schull, 12 Monkeys: Season 1 Episode 1, 12 Monkeys: Season 1 Episode 2, J. Crew, ",,,,,,,,,,,,,,,
95549,,https://wornontv.net/69398/,Max Black (played by Kat Dennings) on 2 Broke Girls on CBS was spotted wearing this black and red off-shoulder gown on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x22) in Apr 2017. Max's Dress is the Off-the-Shoulder Printed Mermaid Gown by Zac Posen. ,Max’s black and red off-shoulder gown on 2 Broke Girls,,Dress,Off-the-Shoulder Printed Mermaid Gown by Zac Posen,https://uploads.wornontv.net/2017/04/zac-posen-Off-the-Shoulder-Printed-Mermaid-Gown-max-2-broke-girls.jpg,2-broke-girls,And 2 Broke Girls: The Movie,6,22,Kat Dennings,Max Black,https://uploads.wornontv.net/2017/04/max-black-red-off-shoulder-gown.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Max Black, Kat Dennings, 2 Broke Girls: Season 6 Episode 22, Zac Posen, ",,,,,,,,https://wornontv.net/dottv/assets/products/Zac-Posen-Off-the-Shoulder-Printed-Mermaid-Gown-69398-43300.jpg,Neiman Marcus,$5990,http://www.neimanmarcus.com/Zac-Posen-Off-the-Shoulder-Printed-Mermaid-Gown-Multi-Cherry-Floral/prod192880239/p.prod,,,,
46303,,https://wornontv.net/69395/,Max Black (played by Kat Dennings) on 2 Broke Girls on CBS was spotted wearing this top with green embroidered cuffs on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x22) in Apr 2017. Max's Top is the Mod Striped-Cuff Top in Green by Free People . ,Max’s top with green embroidered cuffs on 2 Broke Girls,,Top,Mod Striped-Cuff Top in Green by Free People,https://uploads.wornontv.net/2017/04/Free-People-Mod-Striped-Cuff-Top-max-2-broke-girls.jpg,2-broke-girls,And 2 Broke Girls: The Movie,6,22,Kat Dennings,Max Black,https://uploads.wornontv.net/2017/04/max-keyhole-top-green-embroidered-cuffs.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Max Black, Kat Dennings, 2 Broke Girls: Season 6 Episode 22, Free People, ",,,,,,,,https://wornontv.net/dottv/assets/products/Vintage-Heart-Necklace-39205-22308.jpg,Etsy,no longer available,3;url=https://www.awin1.com/cread.php?awinmid=6220,,,,
78301,,https://wornontv.net/69084/,Caroline Channing (played by Beth Behrs) on 2 Broke Girls on CBS was spotted wearing this white top with black bow and striped skirt on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x21) in Apr 2017. Caroline's Top is the Turnia Top by Theory . Caroline's Skirt is the Striped Scuba Skirt by Aqua. ,Caroline’s white top with black bow and striped skirt on 2 Broke Girls,,Top,Turnia Top by Theory,https://uploads.wornontv.net/2017/04/theory-turnia-top-caroline-2-broke-girls.jpg,2-broke-girls,And The Rock Me On The Dais,6,21,Beth Behrs,Caroline Channing,https://uploads.wornontv.net/2017/04/carolines-white-top-striped-skirt.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Caroline Channing, Beth Behrs, 2 Broke Girls: Season 6 Episode 21, Aqua, Theory, ",,,,,,,,https://wornontv.net/dottv/assets/products/AQUA-Skirt-striped-Pleated-Scuba-69084-43136.jpg,Bloomingdales,no longer available,https://www.bloomingdales.com/shop/product/aqua-skirt-striped-pleated-scuba?ID=1291201,,,,
78301,,https://wornontv.net/69084/,Caroline Channing (played by Beth Behrs) on 2 Broke Girls on CBS was spotted wearing this white top with black bow and striped skirt on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x21) in Apr 2017. Caroline's Top is the Turnia Top by Theory . Caroline's Skirt is the Striped Scuba Skirt by Aqua. ,Caroline’s white top with black bow and striped skirt on 2 Broke Girls,,Skirt,Striped Scuba Skirt by Aqua,https://uploads.wornontv.net/2017/04/theory-turnia-top-caroline-2-broke-girls.jpg,2-broke-girls,And The Rock Me On The Dais,6,21,Beth Behrs,Caroline Channing,https://uploads.wornontv.net/2017/04/carolines-white-top-striped-skirt.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Caroline Channing, Beth Behrs, 2 Broke Girls: Season 6 Episode 21, Aqua, Theory, ",,,,,,,,https://wornontv.net/dottv/assets/products/AQUA-Skirt-striped-Pleated-Scuba-69084-43136.jpg,Bloomingdales,no longer available,https://www.bloomingdales.com/shop/product/aqua-skirt-striped-pleated-scuba?ID=1291201,,,,
